top - 15:13:56 up  3:48,  2 users,  load average: 0.12, 0.04, 0.01
Tasks: 366 total,   1 running, 365 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.9%us,  0.2%sy,  0.0%ni, 95.2%id,  3.6%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1922372k total,  1844140k used,    78232k free,     8752k buffers
Swap:  1563644k total,   509996k used,  1053648k free,   162192k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                              
  265 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_28                                           
  266 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_29                                           
  267 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_30                                           
  268 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_31                                           
  269 root      20   0     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_32                                           
  319 root      20   0     0    0    0 S  0.0  0.0   0:02.58 flush-8:0                                            
  322 root      20   0     0    0    0 S  0.0  0.0   0:09.55 jbd2/sda3-8                                          
  323 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ext4-dio-unwrit                                      
  406 root      16  -4 10872  380  268 S  0.0  0.0   0:00.71 udevd                                                
  600 root      20   0     0    0    0 S  0.0  0.0   0:00.25 vmmemctl                                             
  761 root      20   0     0    0    0 S  0.0  0.0   0:00.00 jbd2/sda1-8                                          
  762 root      20   0     0    0    0 S  0.0  0.0   0:00.00 ext4-dio-unwrit                                      
  817 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kauditd                                              
 1019 root      20   0  409m 1060  696 S  0.0  0.1   0:01.15 rsyslogd                                             
 1034 root      20   0  4080  356  352 S  0.0  0.0   0:00.00 acpid                                                
 1051 root      20   0  203m  824  496 S  0.0  0.0   0:01.95 snmptrapd                                            
 1060 root      20   0  191m  416  192 S  0.0  0.0   0:00.64 snmptt                                               
 1061 root      20   0  193m 1188  636 S  0.0  0.1   0:01.84 snmptt                                               
 1075 root      20   0 66656  552  444 S  0.0  0.0   0:00.06 sshd                                                 
 1083 root      20   0 22180  400  396 S  0.0  0.0   0:00.00 xinetd                                               
 1091 ntp       20   0 26512 1028  820 S  0.0  0.1   0:00.13 ntpd                                                 
 1099 root      20   0  114m  504  424 S  0.0  0.0   0:00.36 crond                                                
 1110 root      20   0 74796  384  372 S  0.0  0.0   0:00.00 zabbix_agentd                                        
 1111 root      20   0 74796  528  472 S  0.0  0.0   0:02.84 zabbix_agentd                                        
 1112 root      20   0 74796  324  312 S  0.0  0.0   0:00.00 zabbix_agentd                                        
 1113 root      20   0 74796  324  312 S  0.0  0.0   0:00.00 zabbix_agentd                                        
 1114 root      20   0 74796  324  312 S  0.0  0.0   0:00.00 zabbix_agentd                                        
 1115 root      20   0 74808  536  444 S  0.0  0.0   0:00.85 zabbix_agentd                                        
 1124 root      20   0  236m  732  700 S  0.0  0.0   0:00.03 zabbix_proxy                                         
 1169 postgres  20   0  661m 1460 1316 S  0.0  0.1   0:00.51 postmaster                                           
 1181 root      20   0  4064  236  232 S  0.0  0.0   0:00.00 mingetty                                             
 1183 root      20   0  4064  236  232 S  0.0  0.0   0:00.00 mingetty                                             
 1185 root      20   0  4064  236  232 S  0.0  0.0   0:00.00 mingetty                                             
 1187 root      20   0  4064  236  232 S  0.0  0.0   0:00.00 mingetty                                             
 1189 root      20   0  4064  236  232 S  0.0  0.0   0:00.00 mingetty                                             
 1191 root      20   0  4064  236  232 S  0.0  0.0   0:00.00 mingetty                                             
 1196 root      18  -2 10868  384  236 S  0.0  0.0   0:00.00 udevd                                                
 1198 postgres  20   0  661m  468  400 S  0.0  0.0   0:00.31 postmaster                                           
 1199 postgres  20   0  661m  480  408 S  0.0  0.0   0:00.10 postmaster                                           
 1200 postgres  20   0  661m  408  348 S  0.0  0.0   0:00.35 postmaster                                           
 1201 postgres  20   0  662m 1252  952 S  0.0  0.1   0:00.54 postmaster                                           
 1202 postgres  20   0  111m  528  336 S  0.0  0.0   0:00.75 postmaster                                           
 1205 root      20   0  236m 1456 1172 S  0.0  0.1   0:00.85 zabbix_proxy                                         
 1206 root      20   0  236m  540  452 S  0.0  0.0   0:00.12 zabbix_proxy                                         
 1207 root      20   0  236m  836  716 S  0.0  0.0   0:07.59 zabbix_proxy                                         
 1208 root      20   0  348m  14m  800 S  0.0  0.8   0:00.89 zabbix_proxy                                         
 1209 root      20   0  348m  16m  800 S  0.0  0.9   0:00.84 zabbix_proxy                                         
 1210 root      20   0  348m  14m  800 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1211 root      20   0  348m  14m  800 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1212 root      20   0  348m  14m  800 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1213 root      20   0  348m 9.8m  800 S  0.0  0.5   0:00.81 zabbix_proxy                                         
 1214 root      20   0  348m  16m  800 S  0.0  0.9   0:00.83 zabbix_proxy                                         
 1215 postgres  20   0  663m 3188 2536 S  0.0  0.2   0:25.94 postmaster                                           
 1216 postgres  20   0  663m 4636 3304 S  0.0  0.2   0:00.38 postmaster                                           
 1217 root      20   0  348m  14m  800 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1218 root      20   0  348m  14m  800 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1219 root      20   0  348m  14m  800 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1220 root      20   0  348m  16m  800 S  0.0  0.9   0:00.82 zabbix_proxy                                         
 1221 root      20   0  348m  16m  800 S  0.0  0.9   0:00.85 zabbix_proxy                                         
 1222 root      20   0  348m  17m  800 S  0.0  0.9   0:01.11 zabbix_proxy                                         
 1223 root      20   0  348m  14m  800 S  0.0  0.8   0:01.23 zabbix_proxy                                         
 1224 root      20   0  348m  14m  804 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1225 root      20   0  348m  14m  804 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1226 root      20   0  348m  16m  804 S  0.0  0.9   0:00.82 zabbix_proxy                                         
 1227 root      20   0  348m  15m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1228 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1229 root      20   0  348m  16m  804 S  0.0  0.9   0:00.82 zabbix_proxy                                         
 1230 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1231 root      20   0  348m  12m  804 S  0.0  0.7   0:00.83 zabbix_proxy                                         
 1232 root      20   0  348m  12m  804 S  0.0  0.7   0:00.82 zabbix_proxy                                         
 1233 root      20   0  348m  14m  804 S  0.0  0.8   0:00.90 zabbix_proxy                                         
 1234 root      20   0  348m  14m  804 S  0.0  0.8   0:00.91 zabbix_proxy                                         
 1235 root      20   0  348m  12m  804 S  0.0  0.7   0:00.83 zabbix_proxy                                         
 1236 root      20   0  348m  12m  804 S  0.0  0.7   0:00.82 zabbix_proxy                                         
 1237 root      20   0  348m  15m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1238 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1239 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1240 root      20   0  348m  16m  804 S  0.0  0.9   0:00.82 zabbix_proxy                                         
 1241 root      20   0  348m  16m  804 S  0.0  0.9   0:00.82 zabbix_proxy                                         
 1242 root      20   0  348m  16m  804 S  0.0  0.9   0:00.82 zabbix_proxy                                         
 1243 root      20   0  348m  14m  804 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1244 root      20   0  348m  14m  804 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1245 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1246 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1247 root      20   0  348m  15m  804 S  0.0  0.8   0:01.15 zabbix_proxy                                         
 1248 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1249 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1250 root      20   0  348m  14m  804 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1251 root      20   0  348m  12m  804 S  0.0  0.7   0:00.82 zabbix_proxy                                         
 1252 root      20   0  348m  12m  804 S  0.0  0.7   0:00.83 zabbix_proxy                                         
 1253 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1254 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1255 root      20   0  348m  14m  804 S  0.0  0.8   0:01.05 zabbix_proxy                                         
 1256 root      20   0  348m  14m  804 S  0.0  0.8   0:00.84 zabbix_proxy                                         
 1257 root      20   0  348m  14m  804 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1258 root      20   0  348m  14m  804 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1259 root      20   0  348m  14m  804 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1260 root      20   0  348m  12m  808 S  0.0  0.7   0:00.81 zabbix_proxy                                         
 1261 root      20   0  348m  14m  808 S  0.0  0.8   0:00.89 zabbix_proxy                                         
 1262 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1263 root      20   0  348m  14m  808 S  0.0  0.8   0:00.88 zabbix_proxy                                         
 1264 root      20   0  348m  14m  808 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1265 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1266 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1267 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1268 root      20   0  348m  14m  808 S  0.0  0.8   0:01.39 zabbix_proxy                                         
 1269 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1270 root      20   0  348m  12m  808 S  0.0  0.7   0:00.81 zabbix_proxy                                         
 1271 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1272 root      20   0  348m  12m  808 S  0.0  0.7   0:00.81 zabbix_proxy                                         
 1273 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1274 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1275 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1276 root      20   0  348m  14m  808 S  0.0  0.8   0:00.84 zabbix_proxy                                         
 1277 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1278 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1279 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1280 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1281 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1282 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1283 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1284 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1285 root      20   0  348m  14m  808 S  0.0  0.8   0:00.82 zabbix_proxy                                         
 1286 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1287 root      20   0  348m  14m  808 S  0.0  0.7   0:01.04 zabbix_proxy                                         
 1288 root      20   0  348m  14m  808 S  0.0  0.8   0:00.81 zabbix_proxy                                         
 1289 root      20   0  348m  14m  808 S  0.0  0.8   0:00.83 zabbix_proxy                                         
 1290 root      20   0  236m  752  672 S  0.0  0.0   0:00.01 zabbix_proxy                                         
 1291 root      20   0  236m  748  672 S  0.0  0.0   0:00.02 zabbix_proxy                                         
 1292 root      20   0  236m  868  724 S  0.0  0.0   0:00.06 zabbix_proxy                                         
 1293 root      20   0  236m  744  672 S  0.0  0.0   0:00.02 zabbix_proxy                                         
 1294 root      20   0  236m  748  672 S  0.0  0.0   0:00.11 zabbix_proxy                                         
 1295 root      20   0  236m  472  396 S  0.0  0.0   0:00.06 zabbix_proxy                                         
 1296 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1297 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1298 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1299 postgres  20   0  662m 2052 2004 S  0.0  0.1   0:00.00 postmaster                                           
 1300 postgres  20   0  662m 2056 2004 S  0.0  0.1   0:00.00 postmaster                                           
 1301 postgres  20   0  663m 2836 2188 S  0.0  0.1   0:00.14 postmaster                                           
 1302 postgres  20   0  662m 2064 2012 S  0.0  0.1   0:00.00 postmaster                                           
 1303 postgres  20   0  662m 2064 2012 S  0.0  0.1   0:00.00 postmaster                                           
 1304 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1305 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1306 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1307 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
 1308 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1309 root      20   0  236m  472  396 S  0.0  0.0   0:00.05 zabbix_proxy                                         
 1310 root      20   0  236m  472  396 S  0.0  0.0   0:00.04 zabbix_proxy                                         
